Role,Company_name,Description,Experience,Location
BOAT APPRENTICE TRAINEE,Nokia4.22059  Reviews,Electrical engineeringMechanical engineeringPowerpointProduction engineeringManufacturing engineeringElectrical maintenanceAutomobileAutoCAD,0-1 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Associate - Associate Team,Unitedlex3.2475  Reviews,Associate - Associate Team 1,0-2 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Trainee Territory Sales Executive - Nutrition,Abbott4.22767  Reviews,RetailPayrollStock replenishmentNutritionComplianceTerritory Sales ExecutiveFMCGMerchandising,0-1 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru"
Workday Consultant,Fortune 500 MNC in Banking,Hiring for one of these companies,12-16 Yrs,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Workday Consultant,Top Rated IT Enterprise,Hiring for one of these companies,5-8 Yrs,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Exchange Administrator,Large IT MNC,Hiring for one of these companies,4-7 Yrs,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
Siebel Consultant,Foreign IT Consulting MNC,Hiring for one of these companies,4-9 Yrs,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Application Support Analyst,Foreign IT Consulting MNC,Hiring for one of these companies,2-7 Yrs,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Oracle Fusion SCM Functional Lead,Oracle3.84577  Reviews,Fusion ScmScm CloudMFGOrder To CashPlanningOMFusionSCM,8-13 Yrs,"Hybrid - Kolkata, Mumbai, Gandhinagar, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Thiruvananthapuram"
Hiring Freshers - Non Voice/Voice process,Cognizant3.943642  Reviews,Non voiceBPOEmail SupportCustomer RelationshipCustomer ServiceCustomer SupportChatInternational Process,0 Yrs,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru"
Senior Data Analyst,Capco3.7425  Reviews,Data analysisCodingBfsiAgileStakeholder managementJIRAProject deliveryFinancial services,8-12 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
"Genpact Hiring For US Retirements roles - Pune, Bangalore & Chennai",Genpact3.927077  Reviews,RetirementRetirement PlanningCapital MarketsDefined BenefitsUS Retirements PlansIRSDefined Contribution PlanPension Plan,2-7 Yrs,"Pune, Chennai, Bengaluru"
Design Engineer,Nokia4.22059  Reviews,Network designQOSNetwork securityNetwork planningTroubleshootingciscoVirtualizationMPLS,10-15 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Cloud Specialist,Nokia4.22059  Reviews,SimulationLinuxConsultingSystem integrationProduct designBusiness strategyResource managementWiFi,6-10 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Site Reliability Engineer,Nokia4.22059  Reviews,Analytical skillsAutomationManaged servicesSoftware configuration managementConsultingFirmwareUnit testingSCM,3-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Security Operations Engineer,Nokia4.22059  Reviews,UnixTelecomSOCWindowsCustomer serviceCCNATroubleshootingTechnical support,2-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Data Engineer,Nokia4.22059  Reviews,Product managementComputer scienceSAPCodingUnit testingInformation technologySDLCSQL,3-7 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Data Analytics PM / Scrum Leader,Nokia4.22059  Reviews,PMPProject managementAnalyticalInformation securityAgileScrumData analyticsPSM,3-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Cloud Specialist,Nokia4.22059  Reviews,WirelessSimulationLinuxConsultingSystem integrationProduct designBusiness strategyResource management,10-12 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Services Lead,Nokia4.22059  Reviews,WirelessAssurancePerformance managementVASCustomer serviceTroubleshootingContinuous improvementcisco,5-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Senior Technical Specialist,Nokia4.22059  Reviews,AutomationNetworkingEthernetConsultingPerlFirmwareSCMSDLC,5-8 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
R&D Engineer SW,Nokia4.22059  Reviews,TelecomLinuxdevopsJavascriptProgrammingHTMLApacheOperations,3-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Pricing Specialist 4,Nokia4.22059  Reviews,TelecomContract managementnetwork servicesBusiness strategySales processResource managementRisk managementCustomer engagement,4-10 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
Customer Documentation Developer,Nokia4.22059  Reviews,UnixPLMContent managementManager Quality AssuranceXMLConsultingAgileTelecommunication,2-5 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
CCS Account Manager,Nokia4.22059  Reviews,Relationship managementglobal salesTelecomSales strategyManaged servicesSales processCustomer engagementBusiness case,12-15 Yrs,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
